priority	status	workload	case	sample_scope	current_evidence	correctness_gate	next_action
P0	sample_ready_ab	prefill_softmax	_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_c4_softmax_pool.pto	vector_kernel	camodel_off_on_byte_equal	cpu_golden_missing	add_cpu_golden_then_repeat_samples
P0	sample_ready_diagnostic	prefill_rope	_jit_prefill_attention_csa_test_20260723_031246/ptoas/rope.pto	vector_kernel	camodel_off_on_available	output_differs_and_packing_unresolved	fix_output_contract_before_acceptance
P0	sample_ready_diagnostic	decode_rmsnorm_rope	_jit_attention_csa_test_20260723_032646/ptoas/rmsnorm_rope.pto	vector_kernel	camodel_off_on_available	nonfinite_and_output_differs	build_model_valid_inputs_and_golden
P1	harness_required	decode_softmax	_jit_attention_csa_test_20260723_032646/ptoas/scatter_softmax_pool.pto	vector_kernel	lowering_and_static_ir_available	no_standalone_runtime_golden	build_harness_from_generated_orchestration
P1	harness_required	decode_softmax_variant	_jit_attention_csa_test_20260723_032646/ptoas/scatter_softmax_pool_0.pto	vector_kernel	lowering_and_static_ir_available	no_standalone_runtime_golden	reuse_decode_softmax_harness
P1	harness_required	prefill_indexed_softmax	_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_idx_c4_softmax_pool.pto	vector_kernel	lowering_and_static_ir_available	no_standalone_runtime_golden	extend_prefill_softmax_harness
P1	harness_required	decode_online_softmax	_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn.pto	vector_kernel	lowering_and_static_ir_available	model_valid_dynamic_inputs_missing	derive_inputs_from_attention_orchestration
P1	harness_required	prefill_online_softmax	_jit_prefill_attention_csa_test_20260723_031246/ptoas/comb_sinkhorn.pto	vector_kernel	lowering_and_static_ir_available	model_valid_dynamic_inputs_missing	derive_inputs_from_prefill_orchestration
P1	harness_required	standalone_rmsnorm	_jit_rms_norm_test_20260723_030929/ptoas/rms_norm.pto	vector_kernel	generated_orchestration_available	standalone_golden_not_integrated	build_bf16_cpu_golden_and_harness
P1	harness_required	decode_rmsnorm	_jit_attention_csa_test_20260723_032646/ptoas/rms_norm.pto	vector_kernel	lowering_and_static_ir_available	model_valid_inputs_missing	reuse_standalone_rmsnorm_golden
P1	harness_required	prefill_merge_norm	_jit_prefill_attention_csa_test_20260723_031246/ptoas/merge_norm.pto	vector_kernel	lowering_and_static_ir_available	model_valid_inputs_missing	reuse_standalone_rmsnorm_infrastructure
P2	macro_after_micro	decode_fa_qk_pv	_jit_attention_csa_test_20260723_032646/ptoas/qk_pv.pto	cube_vector_kernel_pair	lowering_and_static_ir_available	full_pipeline_inputs_and_outputs_required	measure_only_after_softmax_microkernels_are_stable
P2	macro_after_micro	prefill_fa_qk_pv	_jit_prefill_attention_csa_test_20260723_031246/ptoas/qk_pv.pto	cube_vector_kernel_pair	lowering_and_static_ir_available	full_pipeline_inputs_and_outputs_required	measure_only_after_softmax_microkernels_are_stable
